Time,Driver,DriverNumber,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds
0 days 01:37:56.908000,VER,1,17.0,2.0,,,0 days 00:00:31.876000,0 days 00:00:48.828000,0 days 00:00:30.043000,0 days 01:36:38.090000,0 days 01:37:26.918000,0 days 01:37:56.961000,320.0,188.0,214.0,311.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:36:06.161000,2022-08-28 13:37:06.241,1,2.0,False,,False,True,110.747
0 days 01:39:47.956000,VER,1,18.0,2.0,,,0 days 00:00:31.597000,0 days 00:00:49.219000,0 days 00:00:30.232000,0 days 01:38:28.558000,0 days 01:39:17.777000,0 days 01:39:48.009000,340.0,191.0,211.0,313.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:56.908000,2022-08-28 13:38:56.988,1,1.0,False,,False,True,111.048
0 days 01:41:39.869000,VER,1,19.0,2.0,,,0 days 00:00:32.163000,0 days 00:00:49.387000,0 days 00:00:30.363000,0 days 01:40:20.172000,0 days 01:41:09.559000,0 days 01:41:39.922000,314.0,191.0,211.0,307.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:39:47.956000,2022-08-28 13:40:48.036,1,1.0,False,,False,True,111.913
0 days 01:43:32.077000,VER,1,20.0,2.0,,,0 days 00:00:32.156000,0 days 00:00:49.617000,0 days 00:00:30.435000,0 days 01:42:12.078000,0 days 01:43:01.695000,0 days 01:43:32.130000,316.0,186.0,210.0,308.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:41:39.869000,2022-08-28 13:42:39.949,1,1.0,False,,False,True,112.208
0 days 01:45:24.252000,VER,1,21.0,2.0,,,0 days 00:00:32.197000,0 days 00:00:49.551000,0 days 00:00:30.427000,0 days 01:44:04.327000,0 days 01:44:53.878000,0 days 01:45:24.305000,314.0,189.0,211.0,308.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:43:32.077000,2022-08-28 13:44:32.157,1,1.0,False,,False,True,112.175
0 days 01:47:16.634000,VER,1,22.0,2.0,,,0 days 00:00:32.258000,0 days 00:00:49.647000,0 days 00:00:30.477000,0 days 01:45:56.563000,0 days 01:46:46.210000,0 days 01:47:16.687000,316.0,189.0,211.0,307.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:45:24.252000,2022-08-28 13:46:24.332,1,1.0,False,,False,True,112.382
0 days 01:49:08.907000,VER,1,23.0,2.0,,,0 days 00:00:32.250000,0 days 00:00:49.641000,0 days 00:00:30.382000,0 days 01:47:48.937000,0 days 01:48:38.578000,0 days 01:49:08.960000,314.0,187.0,211.0,309.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:47:16.634000,2022-08-28 13:48:16.714,1,1.0,False,,False,True,112.273
0 days 01:51:01.374000,VER,1,24.0,2.0,,,0 days 00:00:32.197000,0 days 00:00:49.849000,0 days 00:00:30.421000,0 days 01:49:41.157000,0 days 01:50:31.006000,0 days 01:51:01.427000,317.0,184.0,210.0,310.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:49:08.907000,2022-08-28 13:50:08.987,1,1.0,False,,False,True,112.467
0 days 01:52:53.929000,VER,1,25.0,2.0,,,0 days 00:00:32.154000,0 days 00:00:49.856000,0 days 00:00:30.545000,0 days 01:51:33.581000,0 days 01:52:23.437000,0 days 01:52:53.982000,319.0,188.0,211.0,312.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:51:01.374000,2022-08-28 13:52:01.454,1,1.0,False,,False,True,112.555
0 days 01:54:46.455000,VER,1,26.0,2.0,,,0 days 00:00:32.130000,0 days 00:00:49.803000,0 days 00:00:30.593000,0 days 01:53:26.112000,0 days 01:54:15.915000,0 days 01:54:46.508000,319.0,187.0,211.0,310.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:52:53.929000,2022-08-28 13:53:54.009,1,1.0,False,,False,True,112.526
0 days 01:56:39.324000,VER,1,27.0,2.0,,,0 days 00:00:32.261000,0 days 00:00:50.079000,0 days 00:00:30.529000,0 days 01:55:18.769000,0 days 01:56:08.848000,0 days 01:56:39.377000,318.0,189.0,211.0,309.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:54:46.455000,2022-08-28 13:55:46.535,1,1.0,False,,False,True,112.869
0 days 01:58:32.034000,VER,1,28.0,2.0,,,0 days 00:00:32.101000,0 days 00:00:50.024000,0 days 00:00:30.585000,0 days 01:57:11.478000,0 days 01:58:01.502000,0 days 01:58:32.087000,320.0,187.0,210.0,310.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:56:39.324000,2022-08-28 13:57:39.404,1,1.0,False,,False,True,112.71
0 days 02:00:24.796000,VER,1,29.0,2.0,,,0 days 00:00:32.189000,0 days 00:00:49.960000,0 days 00:00:30.613000,0 days 01:59:04.276000,0 days 01:59:54.236000,0 days 02:00:24.849000,321.0,183.0,212.0,311.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:58:32.034000,2022-08-28 13:59:32.114,1,1.0,False,,False,True,112.762
0 days 02:02:21.927000,VER,1,30.0,2.0,,0 days 02:02:18.225000,0 days 00:00:32.104000,0 days 00:00:50.167000,0 days 00:00:34.860000,0 days 02:00:56.953000,0 days 02:01:47.120000,0 days 02:02:21.980000,321.0,180.0,,313.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 02:00:24.796000,2022-08-28 14:01:24.876,1,1.0,False,,False,False,117.131
0 days 02:04:25.591000,VER,1,31.0,3.0,0 days 02:02:40.574000,,0 days 00:00:45.614000,0 days 00:00:48.045000,0 days 00:00:30.005000,0 days 02:03:07.594000,0 days 02:03:55.639000,0 days 02:04:25.644000,314.0,199.0,217.0,309.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 02:02:21.927000,2022-08-28 14:03:22.007,1,1.0,False,,False,False,123.664
